total_label|passport_label|con|con_label|connected_genvec
6.4-2.0.2.2.2.2.2.2.2.2.2.4.1|6.4-2.0.2.2.2.2.2.2.2.2.2.4|[ 2, 3, 4, 4, 4, 4, 4, 4, 4 ]|[ 2C, 2A, 2B, 2B, 2B, 2B, 2B, 2B, 2B ]|[ b, a, ba, ba, ba, ba, ba, ba, ba ]
6.4-2.0.2.2.2.2.2.2.2.2.2.5.1|6.4-2.0.2.2.2.2.2.2.2.2.2.5|[ 2, 2, 2, 3, 3, 3, 3, 3, 4 ]|[ 2C, 2C, 2C, 2A, 2A, 2A, 2A, 2A, 2B ]|[ b, b, b, a, a, a, a, a, ba ]
6.4-2.0.2.2.2.2.2.2.2.2.2.6.1|6.4-2.0.2.2.2.2.2.2.2.2.2.6|[ 2, 2, 2, 3, 3, 3, 4, 4, 4 ]|[ 2C, 2C, 2C, 2A, 2A, 2A, 2B, 2B, 2B ]|[ b, b, b, a, a, a, ba, ba, ba ]
6.4-2.0.2.2.2.2.2.2.2.2.2.7.1|6.4-2.0.2.2.2.2.2.2.2.2.2.7|[ 2, 2, 2, 3, 4, 4, 4, 4, 4 ]|[ 2C, 2C, 2C, 2A, 2B, 2B, 2B, 2B, 2B ]|[ b, b, b, a, ba, ba, ba, ba, ba ]
6.4-2.0.2.2.2.2.2.2.2.2.2.8.1|6.4-2.0.2.2.2.2.2.2.2.2.2.8|[ 2, 2, 2, 2, 2, 3, 3, 3, 4 ]|[ 2C, 2C, 2C, 2C, 2C, 2A, 2A, 2A, 2B ]|[ b, b, b, b, b, a, a, a, ba ]
6.4-2.0.2.2.2.2.2.2.2.2.2.9.1|6.4-2.0.2.2.2.2.2.2.2.2.2.9|[ 2, 2, 2, 2, 2, 3, 4, 4, 4 ]|[ 2C, 2C, 2C, 2C, 2C, 2A, 2B, 2B, 2B ]|[ b, b, b, b, b, a, ba, ba, ba ]
6.4-2.0.2.2.2.2.2.2.2.2.2.10.1|6.4-2.0.2.2.2.2.2.2.2.2.2.10|[ 2, 2, 2, 2, 2, 2, 2, 3, 4 ]|[ 2C, 2C, 2C, 2C, 2C, 2C, 2C, 2A, 2B ]|[ b, b, b, b, b, b, b, a, ba ]
6.5-1.0.5.5.5.5.5.1.1|6.5-1.0.5.5.5.5.5.1|[ 5, 5, 5, 5, 5 ]|[ 5A1, 5A1, 5A1, 5A1, 5A1 ]|[ a^4, a^4, a^4, a^4, a^4 ]
6.5-1.0.5.5.5.5.5.2.1|6.5-1.0.5.5.5.5.5.2|[ 2, 2, 2, 2, 2 ]|[ 5A-1, 5A-1, 5A-1, 5A-1, 5A-1 ]|[ a, a, a, a, a ]
6.5-1.0.5.5.5.5.5.3.1|6.5-1.0.5.5.5.5.5.3|[ 2, 2, 2, 4, 5 ]|[ 5A-1, 5A-1, 5A-1, 5A2, 5A1 ]|[ a, a, a, a^3, a^4 ]
6.5-1.0.5.5.5.5.5.4.1|6.5-1.0.5.5.5.5.5.4|[ 2, 2, 3, 4, 4 ]|[ 5A-1, 5A-1, 5A-2, 5A2, 5A2 ]|[ a, a, a^2, a^3, a^3 ]
6.5-1.0.5.5.5.5.5.5.1|6.5-1.0.5.5.5.5.5.5|[ 2, 2, 3, 3, 5 ]|[ 5A-1, 5A-1, 5A-2, 5A-2, 5A1 ]|[ a, a, a^2, a^2, a^4 ]
6.5-1.0.5.5.5.5.5.6.1|6.5-1.0.5.5.5.5.5.6|[ 2, 4, 4, 5, 5 ]|[ 5A-1, 5A2, 5A2, 5A1, 5A1 ]|[ a, a^3, a^3, a^4, a^4 ]
6.5-1.0.5.5.5.5.5.7.1|6.5-1.0.5.5.5.5.5.7|[ 2, 3, 5, 5, 5 ]|[ 5A-1, 5A-2, 5A1, 5A1, 5A1 ]|[ a, a^2, a^4, a^4, a^4 ]
6.5-1.0.5.5.5.5.5.8.1|6.5-1.0.5.5.5.5.5.8|[ 2, 3, 3, 3, 4 ]|[ 5A-1, 5A-2, 5A-2, 5A-2, 5A2 ]|[ a, a^2, a^2, a^2, a^3 ]
6.5-1.0.5.5.5.5.5.9.1|6.5-1.0.5.5.5.5.5.9|[ 4, 4, 4, 4, 4 ]|[ 5A2, 5A2, 5A2, 5A2, 5A2 ]|[ a^3, a^3, a^3, a^3, a^3 ]
6.5-1.0.5.5.5.5.5.10.1|6.5-1.0.5.5.5.5.5.10|[ 3, 4, 4, 4, 5 ]|[ 5A-2, 5A2, 5A2, 5A2, 5A1 ]|[ a^2, a^3, a^3, a^3, a^4 ]
6.5-1.0.5.5.5.5.5.11.1|6.5-1.0.5.5.5.5.5.11|[ 3, 3, 4, 5, 5 ]|[ 5A-2, 5A-2, 5A2, 5A1, 5A1 ]|[ a^2, a^2, a^3, a^4, a^4 ]
6.5-1.0.5.5.5.5.5.12.1|6.5-1.0.5.5.5.5.5.12|[ 3, 3, 3, 3, 3 ]|[ 5A-2, 5A-2, 5A-2, 5A-2, 5A-2 ]|[ a^2, a^2, a^2, a^2, a^2 ]
6.6-2.0.3.3.3.6.6.1.1|6.6-2.0.3.3.3.6.6.1|[ 3, 3, 3, 5, 6 ]|[ 3A1, 3A1, 3A1, 6A1, 6A-1 ]|[ a^4, a^4, a^4, a, a^5 ]
6.6-2.0.3.3.3.6.6.2.1|6.6-2.0.3.3.3.6.6.2|[ 3, 3, 4, 5, 5 ]|[ 3A1, 3A1, 3A-1, 6A1, 6A1 ]|[ a^4, a^4, a^2, a, a ]
6.6-2.0.3.3.3.6.6.3.1|6.6-2.0.3.3.3.6.6.3|[ 3, 4, 4, 6, 6 ]|[ 3A1, 3A-1, 3A-1, 6A-1, 6A-1 ]|[ a^4, a^2, a^2, a^5, a^5 ]
6.6-2.0.3.3.3.6.6.4.1|6.6-2.0.3.3.3.6.6.4|[ 4, 4, 4, 5, 6 ]|[ 3A-1, 3A-1, 3A-1, 6A1, 6A-1 ]|[ a^2, a^2, a^2, a, a^5 ]
6.6-2.0.2.3.6.6.6.1.1|6.6-2.0.2.3.6.6.6.1|[ 2, 3, 5, 6, 6 ]|[ 2A, 3A1, 6A1, 6A-1, 6A-1 ]|[ a^3, a^4, a, a^5, a^5 ]
6.6-2.0.2.3.6.6.6.2.1|6.6-2.0.2.3.6.6.6.2|[ 2, 4, 5, 5, 6 ]|[ 2A, 3A-1, 6A1, 6A1, 6A-1 ]|[ a^3, a^2, a, a, a^5 ]
6.6-1.0.2.2.3.3.3.3.1.1|6.6-1.0.2.2.3.3.3.3.1|[ 2, 2, 3, 3, 3, 3 ]|[ 2A, 2A, 3A, 3A, 3A, 3A ]|[ a, a, b^2, b, b, b^2 ]
6.6-1.0.2.2.3.3.3.3.1.2|6.6-1.0.2.2.3.3.3.3.1|[ 2, 2, 3, 3, 3, 3 ]|[ 2A, 2A, 3A, 3A, 3A, 3A ]|[ a, a, b^2, b, b^2, b ]
6.6-1.0.2.2.3.3.3.3.1.3|6.6-1.0.2.2.3.3.3.3.1|[ 2, 2, 3, 3, 3, 3 ]|[ 2A, 2A, 3A, 3A, 3A, 3A ]|[ a, a, b^2, b^2, b, b ]
6.6-1.0.2.2.3.3.3.3.1.4|6.6-1.0.2.2.3.3.3.3.1|[ 2, 2, 3, 3, 3, 3 ]|[ 2A, 2A, 3A, 3A, 3A, 3A ]|[ a, ba, b, b, b, b^2 ]
6.6-1.0.2.2.3.3.3.3.1.5|6.6-1.0.2.2.3.3.3.3.1|[ 2, 2, 3, 3, 3, 3 ]|[ 2A, 2A, 3A, 3A, 3A, 3A ]|[ a, ba, b, b, b^2, b ]
6.6-1.0.2.2.3.3.3.3.1.6|6.6-1.0.2.2.3.3.3.3.1|[ 2, 2, 3, 3, 3, 3 ]|[ 2A, 2A, 3A, 3A, 3A, 3A ]|[ a, ba, b, b^2, b, b ]
6.6-1.0.2.2.3.3.3.3.1.7|6.6-1.0.2.2.3.3.3.3.1|[ 2, 2, 3, 3, 3, 3 ]|[ 2A, 2A, 3A, 3A, 3A, 3A ]|[ a, ba, b^2, b, b, b ]
6.6-1.0.2.2.3.3.3.3.1.8|6.6-1.0.2.2.3.3.3.3.1|[ 2, 2, 3, 3, 3, 3 ]|[ 2A, 2A, 3A, 3A, 3A, 3A ]|[ a, ba, b^2, b^2, b^2, b^2 ]
6.6-2.0.2.2.3.3.3.3.1.1|6.6-2.0.2.2.3.3.3.3.1|[ 2, 2, 3, 3, 4, 4 ]|[ 2A, 2A, 3A1, 3A1, 3A-1, 3A-1 ]|[ a^3, a^3, a^4, a^4, a^2, a^2 ]
6.6-2.0.2.2.2.3.3.6.1.1|6.6-2.0.2.2.2.3.3.6.1|[ 2, 2, 2, 3, 3, 5 ]|[ 2A, 2A, 2A, 3A1, 3A1, 6A1 ]|[ a^3, a^3, a^3, a^4, a^4, a ]
6.6-2.0.2.2.2.3.3.6.2.1|6.6-2.0.2.2.2.3.3.6.2|[ 2, 2, 2, 4, 4, 6 ]|[ 2A, 2A, 2A, 3A-1, 3A-1, 6A-1 ]|[ a^3, a^3, a^3, a^2, a^2, a^5 ]
6.6-2.0.2.2.2.2.6.6.1.1|6.6-2.0.2.2.2.2.6.6.1|[ 2, 2, 2, 2, 5, 6 ]|[ 2A, 2A, 2A, 2A, 6A1, 6A-1 ]|[ a^3, a^3, a^3, a^3, a, a^5 ]
6.6-1.0.2.2.2.2.2.2.3.1.1|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, a, a, a, ba, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.2|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, a, a, ba, a, b ]
6.6-1.0.2.2.2.2.2.2.3.1.3|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, a, a, ba, b^2a, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.4|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, a, ba, a, a, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.5|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, a, ba, a, ba, b ]
6.6-1.0.2.2.2.2.2.2.3.1.6|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, a, ba, ba, ba, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.7|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, a, ba, ba, b^2a, b ]
6.6-1.0.2.2.2.2.2.2.3.1.8|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, a, ba, b^2a, a, b ]
6.6-1.0.2.2.2.2.2.2.3.1.9|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, a, ba, b^2a, b^2a, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.10|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, ba, a, a, a, b ]
6.6-1.0.2.2.2.2.2.2.3.1.11|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, ba, a, a, b^2a, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.12|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, ba, a, ba, a, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.13|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, ba, a, ba, ba, b ]
6.6-1.0.2.2.2.2.2.2.3.1.14|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, ba, a, b^2a, ba, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.15|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, ba, a, b^2a, b^2a, b ]
6.6-1.0.2.2.2.2.2.2.3.1.16|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, ba, ba, a, ba, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.17|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, ba, ba, a, b^2a, b ]
6.6-1.0.2.2.2.2.2.2.3.1.18|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, ba, ba, ba, a, b ]
6.6-1.0.2.2.2.2.2.2.3.1.19|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, ba, ba, ba, b^2a, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.20|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, ba, ba, b^2a, a, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.21|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, ba, ba, b^2a, ba, b ]
6.6-1.0.2.2.2.2.2.2.3.1.22|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, ba, b^2a, a, a, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.23|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, ba, b^2a, a, ba, b ]
6.6-1.0.2.2.2.2.2.2.3.1.24|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, ba, b^2a, ba, ba, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.25|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, ba, b^2a, ba, b^2a, b ]
6.6-1.0.2.2.2.2.2.2.3.1.26|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, ba, b^2a, b^2a, a, b ]
6.6-1.0.2.2.2.2.2.2.3.1.27|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, a, ba, b^2a, b^2a, b^2a, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.28|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, a, a, a, a, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.29|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, a, a, a, ba, b ]
6.6-1.0.2.2.2.2.2.2.3.1.30|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, a, a, ba, ba, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.31|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, a, a, ba, b^2a, b ]
6.6-1.0.2.2.2.2.2.2.3.1.32|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, a, a, b^2a, a, b ]
6.6-1.0.2.2.2.2.2.2.3.1.33|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, a, a, b^2a, b^2a, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.34|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, a, ba, a, a, b ]
6.6-1.0.2.2.2.2.2.2.3.1.35|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, a, ba, a, b^2a, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.36|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, a, ba, ba, a, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.37|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, a, ba, ba, ba, b ]
6.6-1.0.2.2.2.2.2.2.3.1.38|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, a, ba, b^2a, ba, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.39|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, a, ba, b^2a, b^2a, b ]
6.6-1.0.2.2.2.2.2.2.3.1.40|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, a, b^2a, a, ba, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.41|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, a, b^2a, a, b^2a, b ]
6.6-1.0.2.2.2.2.2.2.3.1.42|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, a, b^2a, ba, a, b ]
6.6-1.0.2.2.2.2.2.2.3.1.43|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, a, b^2a, ba, b^2a, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.44|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, a, b^2a, b^2a, a, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.45|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, a, b^2a, b^2a, ba, b ]
6.6-1.0.2.2.2.2.2.2.3.1.46|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, ba, a, a, ba, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.47|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, ba, a, a, b^2a, b ]
6.6-1.0.2.2.2.2.2.2.3.1.48|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, ba, a, ba, a, b ]
6.6-1.0.2.2.2.2.2.2.3.1.49|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, ba, a, ba, b^2a, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.50|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, ba, a, b^2a, a, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.51|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, ba, a, b^2a, ba, b ]
6.6-1.0.2.2.2.2.2.2.3.1.52|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, ba, ba, a, a, b^2 ]
6.6-1.0.2.2.2.2.2.2.3.1.53|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, ba, ba, a, ba, b ]
6.6-1.0.2.2.2.2.2.2.3.1.54|6.6-1.0.2.2.2.2.2.2.3.1|[ 2, 2, 2, 2, 2, 2, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 3A ]|[ a, ba, ba, ba, ba, ba, b^2 ]
